,Error,mCE,Gauss,Shot,Impulse,Defocus,Glass,Motion,Zoom,Snow,Frost,Fog,Bright,Contrast,Elastic,Pixel,JPEG
baseline_48-bit-scratch_60epochs,0.23871588706970215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
push3_pull3_avg0_inhibition1,0.2636348605155945,1.0493701696395874,1.1063495874404907,1.1223036050796509,1.1000590324401855,1.0333168506622314,1.0208548307418823,0.9778199195861816,1.0111767053604126,1.0860793590545654,1.068117380142212,1.0340245962142944,1.0422183275222778,1.015963077545166,1.0173118114471436,1.0327327251434326,1.0722246170043945
push3_pull3_avg0_inhibition2,0.24731183052062988,1.0360041856765747,1.0514124631881714,1.0486104488372803,1.0770988464355469,1.0270423889160156,1.043534278869629,1.007358431816101,1.0253010988235474,1.056480884552002,1.0660640001296997,1.0495356321334839,1.0240741968154907,1.004064679145813,1.0242078304290771,1.0022975206375122,1.032979130744934
push3_pull3_avg0_inhibition3,0.25594085454940796,1.040993332862854,1.1135518550872803,1.1377936601638794,1.0992710590362549,0.998256266117096,1.0230575799942017,0.9497110843658447,0.9560427665710449,1.0838910341262817,1.0895371437072754,1.033512830734253,1.0429582595825195,1.0244783163070679,0.9801946878433228,1.0219383239746094,1.0607049465179443
push3_pull3_avg3_inhibition1,0.2780072093009949,1.03666090965271,1.007169485092163,1.0299217700958252,1.0125107765197754,1.0240623950958252,0.9519041776657104,1.0228396654129028,1.011527180671692,1.1067203283309937,0.9837954044342041,1.1294960975646973,1.114998459815979,1.0595183372497559,1.0454515218734741,0.9522424936294556,1.09775710105896
push3_pull3_avg3_inhibition2,0.3101668357849121,1.0569217205047607,0.9739279747009277,1.0245893001556396,0.9864683747291565,0.9668066501617432,0.9069507122039795,0.9895763397216797,0.9469534158706665,1.1946958303451538,1.0766948461532593,1.1913793087005615,1.2561458349227905,1.1137042045593262,1.0455025434494019,1.004183292388916,1.1762481927871704
push3_pull3_avg3_inhibition3,0.3227642774581909,1.1030757427215576,0.9253808856010437,1.00345778465271,0.9344234466552734,1.007691502571106,0.9452620148658752,1.0309531688690186,1.0244996547698975,1.25344979763031,1.1723401546478271,1.3236150741577148,1.317624568939209,1.2222034931182861,1.1105934381484985,1.0468045473098755,1.2278369665145874
push3_pull5_avg0_inhibition1,0.256622850894928,1.0159265995025635,1.0550976991653442,1.0646525621414185,1.0605111122131348,0.9817274808883667,0.9879568219184875,0.9633697271347046,0.9563000798225403,1.05763840675354,1.020569920539856,1.0289736986160278,1.0396639108657837,1.0152702331542969,0.9765681028366089,0.9843414425849915,1.0462579727172852
push3_pull5_avg0_inhibition2,0.2550048828125,1.0355992317199707,1.085625410079956,1.1024123430252075,1.0856513977050781,1.0311640501022339,1.0142955780029297,1.0034836530685425,1.0062888860702515,1.0664269924163818,1.0002007484436035,1.0699416399002075,1.0398671627044678,1.0198562145233154,1.018353819847107,0.9554137587547302,1.0350056886672974
push3_pull5_avg0_inhibition3,0.2821693420410156,1.0516027212142944,1.0360846519470215,1.0689940452575684,1.0386652946472168,1.0394957065582275,0.9940717220306396,0.9976272583007812,1.0240205526351929,1.1253283023834229,1.0194364786148071,1.0698856115341187,1.1105595827102661,1.0572798252105713,1.0430257320404053,1.0279771089553833,1.121588110923767
push3_pull5_avg3_inhibition1,0.28284740447998047,1.0593230724334717,1.048689603805542,1.0753450393676758,1.0582753419876099,1.0113475322723389,0.9571434259414673,1.020418405532837,1.0149508714675903,1.126308560371399,1.024359941482544,1.1565896272659302,1.1322171688079834,1.0954099893569946,1.0531301498413086,1.0114349126815796,1.1042256355285645
push3_pull5_avg3_inhibition2,0.2994990944862366,1.0654942989349365,1.0134333372116089,1.0521000623703003,1.0147291421890259,0.9767283201217651,0.9393372535705566,0.9948321580886841,0.9766936302185059,1.1694999933242798,1.1097861528396606,1.1719144582748413,1.2367218732833862,1.1081081628799438,1.051975965499878,1.0153354406356812,1.1512174606323242
push3_pull5_avg3_inhibition3,0.32216376066207886,1.1162248849868774,1.0139706134796143,1.0789843797683716,1.0028250217437744,1.0131148099899292,0.9884477853775024,1.0267508029937744,1.0111244916915894,1.2528963088989258,1.1843880414962769,1.2967137098312378,1.3086979389190674,1.1865485906600952,1.1091535091400146,1.0363610982894897,1.2333967685699463
